participant,round_index,condition,condition_group,question_raw,extra_1,extra_2,score,adjusted_score
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,23,23.0,23.0
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,52,52.0,48.0
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,52",52.0,52.0
P01,7,C7_Audio_Unpredictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,27",27.0,27.0
P01,7,C7_Audio_Unpredictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,21",21.0,21.0
P01,7,C7_Audio_Unpredictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,22,22.0,22.0
P01,7,C7_Audio_Unpredictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,40,40.0,60.0
P01,7,C7_Audio_Unpredictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,30,30.0,30.0
P01,7,C7_Audio_Unpredictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,35",35.0,35.0
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,20",20.0,20.0
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,11",11.0,11.0
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,30,30.0,30.0
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,55,55.0,45.0
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,55",55.0,55.0
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,15",15.0,15.0
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,11",11.0,11.0
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,30,30.0,30.0
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,52,52.0,48.0
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,51",51.0,51.0
P02,1,C1_No_Distraction,No distraction,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,55",55.0,55.0
P02,1,C1_No_Distraction,No distraction,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,20",20.0,20.0
P02,1,C1_No_Distraction,No distraction,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,70,70.0,70.0
P02,1,C1_No_Distraction,No distraction,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,30,30.0,70.0
P02,1,C1_No_Distraction,No distraction,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,56,56.0,56.0
P02,1,C1_No_Distraction,No distraction,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,59",59.0,59.0
P02,2,C2_Visual_Predictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,52",52.0,52.0
P02,2,C2_Visual_Predictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,23",23.0,23.0
P02,2,C2_Visual_Predictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,55,55.0,55.0
P02,2,C2_Visual_Predictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,47,47.0,53.0
P02,2,C2_Visual_Predictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,38,38.0,38.0
P02,2,C2_Visual_Predictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,44",44.0,44.0
P02,3,C3_Visual_Unpredictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,61",61.0,61.0
P02,3,C3_Visual_Unpredictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,56",56.0,56.0
P02,3,C3_Visual_Unpredictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,61,61.0,61.0
P02,3,C3_Visual_Unpredictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,41,41.0,59.0
P02,3,C3_Visual_Unpredictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,42,42.0,42.0
P02,3,C3_Visual_Unpredictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,63",63.0,63.0
P02,4,C4_Audio_Predictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,56",56.0,56.0
P02,4,C4_Audio_Predictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,43",43.0,43.0
P02,4,C4_Audio_Predictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,65,65.0,65.0
P02,4,C4_Audio_Predictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,35,35.0,65.0
P02,4,C4_Audio_Predictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,46,46.0,46.0
P02,4,C4_Audio_Predictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,61",61.0,61.0
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,57",57.0,57.0
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,41",41.0,41.0
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,69,69.0,69.0
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,40,40.0,60.0
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,45,45.0,45.0
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,61",61.0,61.0
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,58",58.0,58.0
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,39",39.0,39.0
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,73,73.0,73.0
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,37,37.0,63.0
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,62,62.0,62.0
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,64",64.0,64.0
P02,7,C7_Audio_Unpredictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,62",62.0,62.0
P02,7,C7_Audio_Unpredictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,67",67.0,67.0
P02,7,C7_Audio_Unpredictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,81,81.0,81.0
P02,7,C7_Audio_Unpredictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,39,39.0,61.0
P02,7,C7_Audio_Unpredictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,57,57.0,57.0
P02,7,C7_Audio_Unpredictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,64",64.0,64.0
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,58",58.0,58.0
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,63",63.0,63.0
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,73,73.0,73.0
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,35,35.0,65.0
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,69,69.0,69.0
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,69",69.0,69.0
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,59",59.0,59.0
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,59",59.0,59.0
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,84,84.0,84.0
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,19,19.0,81.0
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,62,62.0,62.0
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,65",65.0,65.0
P03,1,C1_No_Distraction,No distraction,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,30",30.0,30.0
P03,1,C1_No_Distraction,No distraction,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,13",13.0,13.0
P03,1,C1_No_Distraction,No distraction,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,15,15.0,15.0
P03,1,C1_No_Distraction,No distraction,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,61,61.0,39.0
P03,1,C1_No_Distraction,No distraction,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,20,20.0,20.0
P03,1,C1_No_Distraction,No distraction,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,20",20.0,20.0
P03,2,C2_Visual_Predictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,29",29.0,29.0
P03,2,C2_Visual_Predictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,15",15.0,15.0
P03,2,C2_Visual_Predictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,19,19.0,19.0
P03,2,C2_Visual_Predictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,71,71.0,29.0
P03,2,C2_Visual_Predictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,19,19.0,19.0
P03,2,C2_Visual_Predictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,24",24.0,24.0
P03,3,C3_Visual_Unpredictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,36",36.0,36.0
P03,3,C3_Visual_Unpredictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,20",20.0,20.0
P03,3,C3_Visual_Unpredictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,20,20.0,20.0
P03,3,C3_Visual_Unpredictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,35,35.0,65.0
P03,3,C3_Visual_Unpredictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,35,35.0,35.0
P03,3,C3_Visual_Unpredictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,35",35.0,35.0
P03,4,C4_Audio_Predictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,44",44.0,44.0
P03,4,C4_Audio_Predictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,18",18.0,18.0
P03,4,C4_Audio_Predictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,70,70.0,70.0
P03,4,C4_Audio_Predictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,69,69.0,31.0
P03,4,C4_Audio_Predictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,39,39.0,39.0
P03,4,C4_Audio_Predictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,50",50.0,50.0
P03,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,60",60.0,60.0
P03,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,21",21.0,21.0
P03,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,71,71.0,71.0
P03,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,79,79.0,21.0
P03,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,61,61.0,61.0
P03,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,61",61.0,61.0
P03,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,70",70.0,70.0
P03,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,18",18.0,18.0
P03,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,81,81.0,81.0
P03,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,82,82.0,18.0
P03,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,60,60.0,60.0
P03,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,79",79.0,79.0
